id,created_at,topics,sentiment,text,retweet_count,reply_count,like_count,quote_count
1.47E+18,2021-12-07T21:43:50.000Z,PEH,NEU,"@Kay_Evanss @WillReidWeb @theRCN @nmcnews Sadly Being Blocked/Stopped By: #GoldingtonAvenueSurgery / #GoldingtonAvenue #Surgery In #Bedford :/ :(

As Old G.P. From: #PemberleySurgery Joined In 2021 & I Had Breakdown 19-09-2016 & Banned From Pemberley Surgery,

Was Allowed
https://t.co/G0lLfkZz8O

https://t.co/jw8noGARPO",1,0,1,0
1.47E+18,2021-12-07T18:32:09.000Z,VAE,NEU,"@Schoterbos @EsteveBoix @MaxCRoser @demo_demo_nl I've seen a lot of debate, in fact more factions seem to appear every day. Some are for vaccination but against NPIs, some think people after covid don't need a vaccine, there's a debate about vaccine side-effects, and about long term effects of covid infection.",0,2,1,0
1.47E+18,2021-12-07T19:10:25.000Z,PUH,NEG,"How much is survivorship bias is impossible to say from this data but that needs to be accounted for before assuming all this effect can be credited to a benefit of vaccination:
https://t.co/kgYlRQIMAH",11,3,47,0
1.47E+18,2021-12-07T23:36:41.000Z,PUH,NEU,"@lbottge @JonNoHPeterson @WCCO It's only about 35% unvaccinated are being hospitalized now. 

https://t.co/y26gVWjmth",0,0,0,0
1.47E+18,2021-12-07T19:54:23.000Z,POD,NEG,"Money laundering and foundations.
Wake up people, this is not about your health
https://t.co/YpMO5hgN3s",3,1,3,0
1.47E+18,2021-12-07T18:09:29.000Z,PUH,POS,"@BigJackBrass Good to hear it's only (most likely) temporary discomfort! The Netherlands has again managed to completely delay mass boostering, so again we rank last in a vaccination campaign. So I assume my boneless period will happen in, ooh, say May nex year.",0,0,1,0
1.47E+18,2021-12-07T23:01:04.000Z,PUH,POS,"""When viruses circulate, they mutate when replicated. We must reduce the spread of COVID-19 through vaccination & prevention. If people are vaccinated, the risk of developing & hosting COVID-19 is greatly reduced.'- Cindy Noyes infectious disease physician at UVM Medical Center. https://t.co/uWfiKSdTXV",0,0,0,0
1.47E+18,2021-12-07T19:20:41.000Z,POD,POS,"@disclosetv ""This is a further developed form of communism with the forced Covid rules and vaccination. We are living in a kind of global prison."" --Bishop Athanasius Schneider
https://t.co/LKtPdHtxlh",2,0,2,0
1.47E+18,2021-12-07T22:41:40.000Z,VAE,NEG,"Waning antibody levels after vaccination with mRNA BNT162b2 and inactivated CoronaVac COVID-19 vaccines in Hong Kong blood donors 

https://t.co/EHuYNWn1YB""",0,0,0,0
1.47E+18,2021-12-07T16:58:15.000Z,POD,POS,"the lower the vaccination rate.Since May, counties that voted overwhelmingly for Trump tallied nearly TRIPLE the death rate of blue state counterparts ' due to COVID ""misinformation,"" says NPR. https://t.co/HVFSo8UZHb via @HuffPostPol",0,0,0,0
