id,created_at,topics,sentiment,text,retweet_count,reply_count,like_count,quote_count
1.47e+18,2021-12-07T21:43:50.000Z,POD,,"@Kay_Evanss @WillReidWeb @theRCN @nmcnews Sadly Being Blocked/Stopped By: #GoldingtonAvenueSurgery / #GoldingtonAvenue #Surgery In #Bedford :/ :(

As Old G.P. From: #PemberleySurgery Joined In 2021 &amp; I Had Breakdown 19-09-2016 &amp; Banned From Pemberley Surgery,

Was Allowed
 https://t.co/G0lLfkZz8O

https://t.co/jw8noGARPO",1,0,1,0
1.47e+18,2021-12-07T18:32:09.000Z,,,"@Schoterbos @EsteveBoix @MaxCRoser @demo_demo_nl I've seen a lot of debate, in fact more factions seem to appear every day. Some are for vaccination but against NPIs, some think people after covid don't need a vaccine, there's a debate about vaccine side-effects, and about long term effects of covid infection.",0,2,1,0
1.47e+18,2021-12-07T19:10:25.000Z,,,"How much is survivorship bias is impossible to say from this data but that needs to be accounted for before assuming all this effect can be credited to a benefit of vaccination:
https://t.co/kgYlRQIMAH",11,3,47,0
1.47e+18,2021-12-07T23:36:41.000Z,,,"@lbottge @JonNoHPeterson @WCCO It??s only about 35% unvaccinated are being hospitalized now. 

https://t.co/y26gVWjmth",0,0,0,0
1.47e+18,2021-12-07T19:54:23.000Z,,,"Money laundering and foundations.
Wake up people, this is not about your health
https://t.co/YpMO5hgN3s",3,1,3,0
1.47e+18,2021-12-07T18:09:29.000Z,,,"@BigJackBrass Good to hear it's only (most likely) temporary discomfort! The Netherlands has again managed to completely delay mass boostering, so again we rank last in a vaccination campaign. So I assume my boneless period will happen in, ooh, say May nex year.",0,0,1,0
1.47e+18,2021-12-07T23:01:04.000Z,,,"""When viruses circulate, they mutate when replicated. We must reduce the spread of COVID-19 through vaccination &amp; prevention. If people are vaccinated, the risk of developing &amp; hosting COVID-19 is greatly reduced.??- Cindy Noyes infectious disease physician at UVM Medical Center. https://t.co/uWfiKSdTXV",0,0,0,0
1.47e+18,2021-12-07T19:20:41.000Z,,,"@disclosetv ""This is a further developed form of communism with the forced Covid rules and vaccination. We are living in a kind of global prison."" --Bishop Athanasius Schneider
https://t.co/LKtPdHtxlh",2,0,2,0
1.47e+18,2021-12-07T22:41:40.000Z,,,"Waning antibody levels after vaccination with mRNA BNT162b2 and inactivated CoronaVac COVID-19 vaccines in Hong Kong blood donors 

https://t.co/EHuYNWn1YB""",0,0,0,0
1.47e+18,2021-12-07T16:58:15.000Z,,,"the lower the vaccination rate.Since May, counties that voted overwhelmingly for Trump tallied nearly TRIPLE the death rate of blue state counterparts ?? due to COVID ""misinformation,"" says NPR. https://t.co/HVFSo8UZHb via @HuffPostPol",0,0,0,0
1.47e+18,2021-12-07T20:09:44.000Z,,,"Listening to ""We Bring Vaccine Doses to Businesses and Organizations! / Staying Safe this Shopping Season! / The Omicron Variant / Kentucky Vaccination Numbers / Yay! Holly Forbes!! 12-07-2021"" at  https://t.co/uA4shmlpkv",0,0,0,0
1.47e+18,2021-12-07T22:40:21.000Z,,,@SimeonBrownMP There is also no justification for the ??protection framework?? or vaccination passports,0,0,1,0
1.47e+18,2021-12-07T20:28:43.000Z,,,"@Tony__Heller @TakeThatEarth @kath2cats @bush_wendy @janem1276 @AndrewLazarus4 @Particle96 @skepticalprune @raouldukeerik @zeetubes @alisonpalk @rpagano697 @provaxtexan @sj_ca1867 @ogilville1 @JimeeLiberty @sammy44231 @VENGYNCE @PaulDesmoParker @doom37455413 @Monstercoyliar @_mamadeb @J_EmpyreanGoals @MsTrixter @richykirsh @runhack @immunotoxPhD @swedishchf @sailor_man_dan @satekor @paco7320 @andylumm @SultaneAlexand1 @kevinault @mcfunny @tenebra99 @Sara4843 @deralteGaukler @handmadekathy @namagoy @Kathmarval @Fannyi5 @TechARP @CarvilleDean @ConsequentialBr @MichaelBuerger8 @WendyOrent @DevoDalek @FactPhily @JamesLynchGTC ALL immunity is ""natural"". The immune system reacts to any antigen regardless of whether it is from the disease or vaccines. It is far safer for immunity to follow vaccination than it is from having to survive deadly diseases to obtain it.",1,1,4,0
1.47e+18,2021-12-07T22:06:41.000Z,,,"@thereal_truther @shashanatasham @gnocchiwizard If we're talking about COVID mortality, post vaccination, why look at clinical trials at all?

We've got census scale data. The variance between vaccinated and unvaccinated is massive. https://t.co/8dzAZ3qAWN",0,1,3,0
1.47e+18,2021-12-07T22:17:03.000Z,,,Court Halts Mandate For Federal Contractors In Another Blow To Biden??s Vaccination??Strategy https://t.co/iuB5MASbHs,0,0,0,0
1.47e+18,2021-12-07T21:00:51.000Z,,,"@FoxNews Is there not something really creepy about this obsession with his vaccination? This is getting ""body snatchers"" type creepy!",0,0,0,0
1.47e+18,2021-12-07T18:21:23.000Z,,,??Official Data shows Deaths of male Children are up 54% since they were offered the Covid-19 Vaccine ?? The Expose?? ???????????? https://t.co/UyFMStONnK,30,1,33,1
1.47e+18,2021-12-07T19:54:51.000Z,,,"@IsleVintage @podderlands @disclosetv 81 of every million in the first year of vaccination, who knows what gonna happen to the Vaxxed people in the next 5 or 10 years",0,1,1,0
1.47e+18,2021-12-07T19:39:38.000Z,,,"As predicted, EU leaders have agreed today in Brussels that (most likely beginning February 1st) Covid vaccination privileges will expire after 9 months unless a booster vaccination was performed. (Source: https://t.co/TVhfiQIK0y)",1,0,0,0
1.47e+18,2021-12-07T19:50:27.000Z,,,"@ScottAdamsSays Why go that far, your vaccines fall apart much earlier than that, like entire cruises being vaccinated and having breakouts, or breakouts in countries that require proof of full vaccination to enter??",0,0,0,0
1.47e+18,2021-12-07T16:57:37.000Z,,,"@PaulGoldsmith73 @JuliaHB1 You are suggesting that you have the right to not come in to contact with potentially lethal pathogens. That's ludicrous.
Covid will continue to circulate for generations. Even 100% global vaccination would not eliminate it.
Unvaccinated causing mutations is also dubious.",0,0,0,0
1.47e+18,2021-12-07T19:46:43.000Z,,,"@RepGregPence Shame on you! One of the 80 Republicans who voted for HR 550 legislation that will  ""enable the federal government to ??track?? unvaccinated Americans who ??will be targeted and forced to comply with Biden??s crazy ??global vaccination?? vision.?? TRAITOR!",0,0,0,0
1.47e+18,2021-12-07T17:04:37.000Z,,,"@StuMcMillanSNP We are supposed to be protecting the NHS, not steaming transmission. The NHS is protected by a lessening impact of transmission and high take up in vaccination. The additional message is not needed and is over-reaction. https://t.co/AMRYjs1JWP",0,0,0,0
1.47e+18,2021-12-07T16:52:02.000Z,,,"""there's not going to be an end point to these vaccination programs"" - spoken like a true psychopath.

These absurd politicians won't stop until they're either physically removed or everyone stops complying.

This has NOTHING to do with health: https://t.co/3aLU59FydD",0,0,0,0
1.47e+18,2021-12-07T21:13:31.000Z,,,@hellgator14 @fuzzymoshe @JoeBorelliNYC Because they're vaccination doesn't work. Neither does their brain.,0,1,10,0
1.47e+18,2021-12-07T20:26:37.000Z,,,"When 40% of Americans refuse vaccination to prevent COVID-19 infection and transmission to fellow Citizens????.Michigan sets hospitalization record, leads nation in new coronavirus cases per capita - CNN https://t.co/qwGm4yiDx4",1,0,1,0
1.47e+18,2021-12-07T23:38:29.000Z,,,@sunnewstamil Omicron ???? virus   - People are compulsory vaccination and public places to wear face ???? keep social distance maintain follow,0,0,0,0
1.47e+18,2021-12-07T21:46:29.000Z,,,"@NewshubPolitics I disagree with Luxon in this. The country needs time to adapt to the new system before we allow covid-19 to spread through the population. They extra time also gives under vaccinated communities time to increase vaccination rates. It's only another week anyway, hardly a slog.",0,2,5,0
1.47e+18,2021-12-07T21:59:32.000Z,,,"@siirf @komonews The conclusions are facts, the fact you don??t like it is irrelevant. Also, https://t.co/KC9lctq5jy",0,1,0,0
1.47e+18,2021-12-07T21:30:04.000Z,,,Kyrie Irving Swerves Vaccination Questions At Nets Media Day: NBA Twitter Reacts  #music https://t.co/xfnjXvycuW  https://t.co/uLpgfECTlI,0,0,0,0
1.47e+18,2021-12-07T17:10:56.000Z,,,"@LBC Here we go folks
I believe this is a Trojan Horse,the fact that top Pfizer CEO Albert Bourla is saying omicron could mutate into something much stronger if allowed to become the dominant strain
So could be used as a prefix 4 enforced vaccination. 
He has friends in high places???? https://t.co/JsITfC4jS6",0,0,0,0
1.47e+18,2021-12-07T17:44:52.000Z,,,"870,000 signatures to stop mass vaccination
@gbdeclaration https://t.co/bQzcd260NN",7,1,11,0
1.47e+18,2021-12-07T17:40:03.000Z,,,"Burn.  

#mask #maskup #masks #masking #covid #COVID19 #covid_19 #covidvacccine #covidvaccine #variant #omicron #OmicronVariant #fauci #faucifraud #lies #lie #2weeks #flattenthecurve #booster #boostershot #vax #vaccine #vaccination #coronavirus #CoronavirusLockdown https://t.co/R2N3sygqxD",0,0,0,0
1.47e+18,2021-12-07T20:22:24.000Z,,,"If we want a better Nigeria, we have to join hands together to expose anyone in any organisation that is issuing fake vaccination, that is taking bribe.
All we have to do is to take a video ans share it online.
If we don??t start, this country will not get better.
#exposethem",0,0,1,0
1.47e+18,2021-12-07T20:18:02.000Z,,,"A modest question
 
If vaccination always gives even a modest protection against risk of contracting a virus, severity of symptoms, or more importantly, transmission to others - all of which is scientifically proven to be true - who in their right mind opposes it?",0,1,1,0
1.47e+18,2021-12-07T18:21:56.000Z,,,"Germany: Father shot his wife, 3 children, &amp; himself after employer found he had forged his wife's #COVID19 vaccination passport (BILD)

Devid R. (40) feared imprisonment and, according to the suicide note, was afraid his children would be taken from him, says attorney general.",1,0,1,0
1.47e+18,2021-12-07T19:52:32.000Z,,,@henrymcmaster @AndersonChamber This makes sense. Anderson County lags behind Charleston County in vaccination rates. https://t.co/FwCnCUFOQg,0,0,0,0
1.47e+18,2021-12-07T16:51:14.000Z,,,extremely tired of my dad arranging workers and not telling me so I suddenly have to corral Riley while talking to strangers with unconfirmed vaccination status,0,0,1,0
1.47e+18,2021-12-07T19:32:58.000Z,,,"@rahmstorf Lesenswert! ""According to the latest data from the Kaiser Family Fund, the rate of Republican Covid vaccination has plateaued at 59%, while 91% of Democrats have been vaccinated.
Republicans have been found to be more likely to believe misinformation about Covid and vaccines ...""",0,0,1,0
1.47e+18,2021-12-07T20:13:18.000Z,,,"Question: where were the patients between 28th/29th November and today when their results came out? Were they in the community or self-isolating?

Given the high transmissibility of Omicron and the low level if vaccination coverage, it is a matter of concern. https://t.co/OkfbwqpgHv https://t.co/qjYso0pZG4",1,1,6,0
1.47e+18,2021-12-07T16:36:56.000Z,,,(2) ...??Kalamazoo County Health &amp; Community Services Department is observing National Influenza Vaccination Week by urging residents to receive vaccines against highly contagious illnesses as soon as possible. Anyone can get the flu or COVID-19...,0,1,0,0
1.47e+18,2021-12-07T22:35:53.000Z,,,"People should be free to go about their daily lives regardless of their vaccination status. They shouldn't be used to control citizen??s access to services, venues and events.

@sdphq #VaccinePassports https://t.co/QWRJ5b9u1D https://t.co/HpiCAvBVuz",45,1,108,5
1.47e+18,2021-12-07T21:13:19.000Z,,,"Wondering if the plan to make vaccination mandatory for healthcare staff will be reconsidered
House of Lords committee says:
-61% of unvaccinated staff said they wd leave their jobs, not get vaccinated
--&gt;??270m for additional recruitment &amp; training costs
https://t.co/gIq8TIpxPc",0,0,0,0
1.47e+18,2021-12-07T23:38:36.000Z,,,"Quote from the article??Ivermectin had shown good results and seemed to be on track for tackling the Pandemic.Big pharmaceutical companies observing the success rate of the drug,decided to impose a ban on it,as it would have directly impacted their vaccination domination campaign?? https://t.co/y9Xd52nILc",0,3,4,0
1.47e+18,2021-12-07T20:30:08.000Z,,,"@thehowie Quite possible that prior Covid infection and/or vaccination offer protection against ""severe disease"". But this doesn't prove that Omicron is an inheritently milder strain...",0,0,1,0
1.47e+18,2021-12-07T20:45:19.000Z,,,"F'god's sake! This is the same man touting the theory that vaccination will lead to more virulent variants. Win if they do, win if they don't. https://t.co/dvkAKwqkcg",0,0,3,0
1.47e+18,2021-12-07T21:00:35.000Z,,,"Delivering culturally aware and safe care to Aboriginal patients will help them make informed decisions about COVID-19 vaccinations, helping to close the vaccination gap.
For cultural safety training and resources, visit
https://t.co/WJUEiUXH3d
#Vaccination #AboriginalCommunities https://t.co/tMt1p8Sc6d",0,0,1,0
1.47e+18,2021-12-07T23:43:57.000Z,,,"I don't mind whatever people do in the privacy of their homes, their beliefs, whatever. You do you. 

Vaccination doesn't only affect you, that's why it ""matters"" to others. Your status is their business because it affects them. 

Get vaccinated. It's about more than you.",2,0,4,0
1.47e+18,2021-12-07T19:03:39.000Z,,,@VirginNostrils @gigachadcapital @CharlotteEmmaUK Whereas lack of vaccination has its own downsides doesn't it?,0,2,0,0
1.47e+18,2021-12-07T17:24:20.000Z,,,"@IrfanDhalla 1) mRNA isn't a 'vaccination'
2) Once you've taking the shot that is in you for life. Impaired driving or smoking on a bus?? isn't permanent.
3) I bet you say it's a 'personal choice' when a woman wants to kill her baby right?
4) forcing people to make you feel safe is selfish",1,0,4,0
1.47e+18,2021-12-07T20:21:46.000Z,,,"@chrischirp 589. Oral Tablet Vaccination Induces Heightened Cross-Reactive CD8 T Cell Responses to SARS-COV-2 in Humans 

https://t.co/vtEWwvHHhU",0,0,0,0
1.47e+18,2021-12-07T17:31:04.000Z,,,"JUST IN: The Mercer County Health Department is currently closed due to a COVID-19 exposure.

The vaccination clinic scheduled for Wednesday, December 8th, will be rescheduled as soon as possible.
https://t.co/B2kRgpCyTD",0,0,0,0
1.47e+18,2021-12-07T22:01:15.000Z,,,"From HR:

""Given the latest news we will be waiting for further information and will not be requiring a vaccination plan or accommodation request from you at this time."" https://t.co/kbxFB6H07x",0,0,2,0
1.47e+18,2021-12-07T23:20:52.000Z,,,"@janaqua @MichiganFront @The_Murky @fanniebay @tedcruz Don??t ask them about masks and vaccination. Apparently that??s their freedumb, but women??s health choice and the right to vote by mail is not freedom.",0,0,0,0
1.47e+18,2021-12-07T17:09:20.000Z,,,"Father kills family

""According to a suicide letter left behind, the 40-year-old forged a vaccination certificate for his wife. After the employer found out, the couple was afraid of imprisonment and that the children would be taken away from them""

https://t.co/7QtTdCmPov",2,2,6,0
